Category,Value,Question,CorrectAnswer, Answer0, Answer1, Answer2
"HISTORY","$200","For the last 8 years of his life, Galileo was under house arrest for espousing this man's theory","Copernicus", "Copernicus","Answer1","Answer2"
"ESPN's TOP 10 ALL-TIME ATHLETES","$200","No. 2: 1912 Olympian; football star at Carlisle Indian School; 6 MLB seasons with the Reds, Giants & Braves","Jim Thorpe","Jim Thorpe","Answer1","Answer2"
"EVERYBODY TALKS ABOUT IT...","$200","The city of Yuma in this state has a record average of 4,055 hours of sunshine each year","Arizona", "Arizona","Answer1","Answer2"
"THE COMPANY LINE","$200","In 1963, live on ""The Art Linkletter Show"", this company served its billionth burger","McDonald's", "McDonald's","Answer1","Answer2"
"EPITAPHS & TRIBUTES","$200","Signer of the Dec. of Indep., framer of the Constitution of Mass., second President of the United States","John Adams", "John Adams","Answer1","Answer2"
"3-LETTER WORDS","$200","In the title of an Aesop fable, this insect shared billing with a grasshopper","the ant", "the ant","Answer1","Answer2"
"HISTORY","$400","Built in 312 B.C. to link Rome & the South of Italy, it's still in use today","the Appian Way","the Appian Way","Answer1","Answer2"
"ESPN's TOP 10 ALL-TIME ATHLETES","$400","No. 8: 30 steals for the Birmingham Barons; 2,306 steals for the Bulls","Michael Jordan", "Michael Jordan","Answer1","Answer2"
"EVERYBODY TALKS ABOUT IT...","$400","In the winter of 1971-72, a record 1,122 inches of snow fell at Rainier Paradise Ranger Station in this state","Washington", "Washington", "Answer1","Answer2" 
"THE COMPANY LINE","$400","This housewares store was named for the packaging its merchandise came in & was first displayed on","Crate & Barrel", "Crate & Barrel","Answer1","Answer2"
"EPITAPHS & TRIBUTES","$400","""And away we go""","Jackie Gleason", "Jackie Gleason","Answer1","Answer2"
"3-LETTER WORDS","$400","Cows regurgitate this from the first stomach to the mouth & chew it again","the cud", "the cud","Answer1","Answer2"
"HISTORY","$600","In 1000 Rajaraja I of the Cholas battled to take this Indian Ocean island now known for its tea","Ceylon (or Sri Lanka)", "Ceylon (or Sri Lanka)","Answer1","Answer2"
"ESPN's TOP 10 ALL-TIME ATHLETES","$600","No. 1: Lettered in hoops, football & lacrosse at Syracuse & if you think he couldn't act, ask his 11 ""unclean"" buddies","Jim Brown", "Jim Brown","Answer1","Answer2"
"EVERYBODY TALKS ABOUT IT...","$600","On June 28, 1994 the nat'l weather service began issuing this index that rates the intensity of the sun's radiation","the UV index", "the UV index","Answer1","Answer2"
"THE COMPANY LINE","$600","This company's Accutron watch, introduced in 1960, had a guarantee of accuracy to within one minute a  month","Bulova", "Bulova","Answer1","Answer2"
"EPITAPHS & TRIBUTES","$600","Outlaw: ""Murdered by a traitor and a coward whose name is not worthy to appear here""","Jesse James", "Jesse James","Answer1","Answer2"
"3-LETTER WORDS","$600","A small demon, or a mischievous child (who might be a little demon!)","imp", "imp","Answer1","Answer2"
"HISTORY","$800","Karl led the first of these Marxist organizational efforts; the second one began in 1889","the International", "the International","Answer1","Answer2"
"ESPN's TOP 10 ALL-TIME ATHLETES","$800","No. 10: FB/LB for Columbia U. in the 1920s; MVP for the Yankees in '27 & '36; ""Gibraltar in Cleats""","(Lou) Gehrig", "(Lou) Gehrig","Answer1","Answer2"
"EVERYBODY TALKS ABOUT IT...","$800","Africa's lowest temperature was 11 degrees below zero in 1935 at Ifrane, just south of Fez in this country","Morocco", "Morocco","Answer1","Answer2"
"THE COMPANY LINE","$800","Edward Teller & this man partnered in 1898 to sell high fashions to women","(Paul) Bonwit", "(Paul) Bonwit","Answer1","Answer2"
"EPITAPHS & TRIBUTES","$2,000","1939 Oscar winner: ""...you are a credit to your craft, your race and to your family""","Hattie McDaniel", "Hattie McDaniel","Answer1","Answer2"
"3-LETTER WORDS","$800","In geologic time one of these, shorter than an eon, is divided into periods & subdivided into epochs","era", "era","Answer1","Answer2"
"HISTORY","$1000","This Asian political party was founded in 1885 with ""Indian National"" as part of its name","the Congress Party", "the Congress Party","Answer1","Answer2"
"ESPN's TOP 10 ALL-TIME ATHLETES","$1000","No. 5: Only center to lead the NBA in assists; track scholarship to Kansas U.; marathoner; volleyballer","Wilt Chamberlain", "Wilt Chamberlain", "Answer1", "Answer2"
"THE COMPANY LINE","$1000","The Kirschner brothers, Don & Bill, named this ski company for themselves & the second-highest mountain","K2", "K2","Answer1","Answer2"
"EPITAPHS & TRIBUTES","$1000","Revolutionary War hero: ""His spirit is in Vermont now""","Ethan Allen", "Ethan Allen","Answer1","Answer2"
"3-LETTER WORDS","$1000","A single layer of paper, or to perform one's craft diligently","ply", "ply","Answer1","Answer2"

